rms,std,min,max,mav,wfl,aac,zc,wamp,afb,label
0.26446927987953534,0.26446443995365426,-0.49,0.51,0.2176,5.91,0.24625,10,23,0.51,1
0.23524455360326624,0.23518707447476786,-0.43,0.39,0.20119999999999996,5.59,0.23291666666666666,10,24,0.39,1
9.75659284791571,9.741145854569677,-19.25,39.98,3.9960000000000004,92.66,3.8608333333333333,10,24,0.56,1
24.30082731101968,24.29830092496181,-54.21,51.32,17.462400000000002,386.86,16.11916666666667,7,23,54.21,1
2.118346525004821,2.1082673075300487,-4.38,4.14,1.7104,29.68,1.2366666666666666,6,24,4.38,1
0.37995789240388206,0.3789247946492813,-0.81,0.64,0.31679999999999997,6.300000000000001,0.2625,6,24,0.81,1
0.31941822114588264,0.31920751870844144,-0.6,0.51,0.2516,6.19,0.2579166666666667,7,23,0.6,1
0.2735543821619387,0.2735356649506605,-0.48,0.42,0.2408,6.5200000000000005,0.27166666666666667,9,24,0.37,1
0.18737128915604973,0.18731961990138674,-0.35,0.46,0.1572,3.91,0.16291666666666668,8,24,0.46,1
0.2673948391424188,0.2672628668558354,-0.55,0.45,0.2308,6.040000000000001,0.2516666666666667,9,24,0.32,1
0.40099875311526845,0.4004165830731789,-0.66,0.68,0.332,8.73,0.36375,8,24,0.62,1
0.27209557144503477,0.2718811505051426,-0.53,0.47,0.23559999999999998,6.220000000000001,0.2591666666666667,9,24,0.3,1
0.23388031127053,0.23386354996022787,-0.41,0.48,0.19880000000000003,5.5600000000000005,0.2316666666666667,9,23,0.48,1
0.2605762844159077,0.26050719759730245,-0.51,0.43,0.218,5.31,0.22124999999999997,7,23,0.51,1
0.22168446043870552,0.2216483701722167,-0.39,0.41,0.19599999999999998,5.0600000000000005,0.21083333333333334,9,23,0.41,1
0.2761448895054913,0.27613446000092057,-0.56,0.49,0.2104,5.48,0.22833333333333336,8,23,0.44,1
0.21895204954510017,0.21889029215568243,-0.38,0.39,0.17880000000000001,4.42,0.18416666666666667,8,23,0.38,1
0.2321206582792665,0.23209859973726685,-0.38,0.54,0.1968,5.26,0.21916666666666665,10,24,0.36,1
25.242834468418955,25.241865274975225,-54.24,51.36,16.750799999999998,372.77,15.532083333333333,8,23,4.42,1
7.28965787948927,7.288266888636832,-17.92,10.61,5.806399999999999,107.97,4.49875,6,24,17.92,1
1.0160472429961118,1.0153213481455023,-2.39,2.09,0.7848,15.35,0.6395833333333333,6,24,2.39,1
0.37712597364806366,0.37705723703437916,-0.66,0.66,0.31120000000000003,7.890000000000001,0.32875000000000004,8,24,0.66,1
0.2495035069893808,0.24946470692264266,-0.46,0.44,0.21,6.050000000000001,0.2520833333333334,11,24,0.33,1
0.3730576362976638,0.37305570629599005,-0.93,0.84,0.28759999999999997,6.41,0.26708333333333334,8,23,0.93,0
0.23157720095035264,0.2313611894851857,-0.35,0.44,0.18599999999999997,4.93,0.20541666666666666,9,23,0.27,0
0.26914680009244024,0.269002899612625,-0.5,0.52,0.23120000000000002,5.859999999999999,0.24416666666666664,10,24,0.52,0
0.22834184898962342,0.22821533690793,-0.45,0.48,0.1724,4.790000000000001,0.19958333333333336,10,24,0.24,0
0.24451584815712868,0.24451290354498678,-0.58,0.46,0.1932,5.13,0.21375,10,24,0.58,0
0.2382015952927268,0.23757979712088317,-0.4,0.45,0.19960000000000006,5.45,0.22708333333333333,8,24,0.26,0
0.3161392098427527,0.3160572100110991,-0.53,0.57,0.2792,6.83,0.28458333333333335,9,24,0.57,0
0.28753434577455267,0.28753406754678656,-0.51,0.57,0.24520000000000003,5.96,0.24833333333333332,7,23,0.57,0
0.1740919297382851,0.17398850536745236,-0.34,0.3,0.1484,4.02,0.16749999999999998,10,23,0.34,0
0.2794637722496424,0.2793810301362639,-0.51,0.6,0.22759999999999997,5.6899999999999995,0.2370833333333333,8,23,0.6,0
0.2573480133981998,0.25647331245180266,-0.52,0.48,0.20120000000000002,4.83,0.20125,10,23,0.52,0
0.13072107710694555,0.13036809425622511,-0.23,0.22,0.1168,2.95,0.12291666666666667,9,23,0.18,0
0.20846102753272613,0.20778296369048163,-0.32,0.47,0.1784,4.57,0.19041666666666668,9,23,0.23,0
0.24919871588754225,0.24842672964075344,-0.48,0.37,0.214,5.91,0.24625,11,24,0.48,0
0.11036303729057116,0.10975171980429282,-0.19,0.22,0.0964,2.21,0.09208333333333334,8,22,0.2,0
0.14309437445266673,0.14302671079207546,-0.21,0.25,0.12360000000000002,2.73,0.11375,8,23,0.25,0
0.21787152177372793,0.217809458013191,-0.34,0.45,0.17800000000000002,4.67,0.19458333333333333,9,24,0.25,0
0.26867080228413354,0.26859456435304124,-0.46,0.49,0.22799999999999998,6.33,0.26375,10,24,0.49,0
0.25126878039263056,0.25094254322453974,-0.49,0.33,0.2224,6.33,0.26375,10,24,0.49,0
0.22621228967498652,0.22599115026920857,-0.4,0.39,0.19720000000000001,5.4,0.225,10,23,0.36,0
0.2608217782318033,0.25982332458807467,-0.48,0.6,0.21559999999999999,5.2,0.21666666666666667,9,24,0.36,0
0.2838379819544946,0.2836888436297769,-0.62,0.56,0.2324,6.220000000000001,0.2591666666666667,10,23,0.62,0
0.23504042205544134,0.23489027225494036,-0.38,0.39,0.2052,5.5200000000000005,0.23,9,24,0.39,0
0.2780935094532054,0.2780750977703685,-0.44,0.5,0.244,6.92,0.28833333333333333,10,24,0.38,0
0.2004993765576342,0.20013995103427,-0.4,0.31,0.17600000000000002,4.94,0.20583333333333334,11,23,0.4,0
0.3528512434440327,0.35272062599173304,-0.7,0.72,0.28319999999999995,7.619999999999999,0.31749999999999995,9,23,0.31,0
