rms,std,min,max,mav,wfl,aac,zc,wamp,afb,label
0.33695697054668566,0.3369282416183007,-0.62,0.64,0.286,7.45,0.3104166666666667,9,24,0.62,1
0.158,0.15785360306309135,-0.31,0.28,0.1332,3.3600000000000003,0.14,9,24,0.16,1
0.24957563983690395,0.2493242066065788,-0.43,0.44,0.20879999999999999,5.15,0.21458333333333335,9,23,0.34,1
0.1372588794941879,0.1370255450636851,-0.21,0.29,0.1128,3.0,0.125,10,23,0.29,1
0.22352628480784983,0.22350874703241483,-0.49,0.48,0.1796,4.52,0.18833333333333332,7,22,0.29,1
0.17694066802179764,0.1769402158922612,-0.29,0.3,0.1524,4.01,0.16708333333333333,9,23,0.2,1
0.15454449197561201,0.1545398330528411,-0.29,0.28,0.12440000000000001,3.17,0.13208333333333333,8,23,0.16,1
0.24551171051499765,0.24548531524309147,-0.44,0.49,0.20759999999999998,5.86,0.24416666666666667,9,24,0.42,1
0.2657141321044103,0.2656463814923892,-0.49,0.44,0.22440000000000002,5.48,0.22833333333333336,8,22,0.49,1
0.33757369565770373,0.3375203697556638,-0.52,0.52,0.2964,6.1,0.25416666666666665,7,24,0.52,1
0.14487235761179565,0.14486738763434648,-0.27,0.33,0.11720000000000001,3.18,0.1325,10,23,0.33,1
0.22592033994308702,0.2251698025935094,-0.38,0.39,0.19599999999999998,4.26,0.1775,6,24,0.36,1
0.19279004123657426,0.19268378240007644,-0.32,0.39,0.1632,3.98,0.16583333333333333,8,24,0.32,1
0.26702059845637377,0.2666941319189457,-0.56,0.51,0.21960000000000002,4.5200000000000005,0.18833333333333335,6,22,0.56,1
0.20150434238497192,0.20083585337284773,-0.36,0.33,0.17639999999999997,5.039999999999999,0.20999999999999996,10,24,0.36,1
0.203066491573573,0.20211838115322417,-0.5,0.34,0.1556,4.21,0.17541666666666667,9,24,0.24,1
0.2548018838234914,0.25457289722199417,-0.52,0.58,0.1868,3.91,0.16291666666666668,9,21,0.58,1
